[Argentina],,
43EC91,civ,# PA32 2-DEAL
43ED00,civ,# EA50 2-LOKI
43EE73,civ,# E55P 2-OOPC
43EE38,civ,# A320 2-FLGP
43ECB1,civ,# B738 2-VJGS
43EBF8,civ,# ALO2 2-ALOU
43EE76,civ,# SF50 2-WOWS
43ED09,civ,# PA30 2-LYCO
43EDF4,civ,# A320 2-ACSJ
43EB09,civ,# AC11 2-BOYS
43EDD8,civ,# A332 2-HXFJ
43ECA4,civ,# R66 2-PROF
43EE4C,civ,# A109 2-JDEJ
43EB7B,civ,# B350 2-FPLF
43EC36,civ,# ALO2 2-STEV
43ED0D,civ,# SF50 2-FEEL
43ED9D,civ,# B738 2-AERP
43EE6B,civ,# B738 2-HGRN
43EE33,civ,# PC12 2-JEFE
43ED9C,civ,# B738 2-AERN
43EE81,civ,# E190 2-EMBB
43EB17,civ,# AC11 2-ZOOM
43EE89,civ,# CL60 2-SWIS
43EEA3,civ,# TBM7 2-RIDE
43EE49,civ,# A109 2-PUBS
43EC8F,civ,# B505 2-BELL
43EE80,civ,# E290 2-RLET
43EC92,civ,# GLF4 2-YAYA
43EC4D,civ,# GLF6 2-KYCM
43EDDF,civ,# SF50 2-DBRV
43EB3B,civ,# P46T 2-JACK
43EBF1,civ,# B06 2-PDPD
43EBF9,civ,# GAZL 2-WMAN
43EBF7,civ,# GAZL 2-PJBA
47EC77,civ,# ALO2 2-SOAR
43EDCE,civ,# A109 2-CATS
43EC76,civ,# ALO2 2-LOUD
43EB33,civ,# C401 2-AZFR
43EB1C,civ,# BE36 2-LOVE
43EB6A,civ,# PA30 2-AWBN
43EB71,civ,# C421 2-MAPP
43ECF7,civ,# DA40 2-PASA
43EBED,civ,# DA62 2-SALE
43ED51,civ,# E55P 2-EMBR
43EE09,civ,# H25B 2-NAPA
43EC45,civ,# P06T 2-DLOO
43EDEE,civ,# SF50 2-YOLO
43EE07,civ,# H25B 2-SHOT
43ECFB,civ,# DA42 2-PASE
43EB4B,civ,# AC11 2-GNSY
43ECF8,civ,# DA40 2-PASB
43EE32,civ,# P180 2-COOL
43EE4F,civ,# CL60 2-GGGG
43EE41,civ,# CL60 2-PAPA
43EB3D,civ,# AC11 2-LAND
43EC44,civ,# B762 2-TSSA
43EE10,civ,# EA50 2-MINI
43ED58,civ,# EA50 2-TAKA
43EE43,civ,# C25M 2-COOK
43ED52,civ,# E550 2-JRSY
43EB3E,civ,# S22T 2-CYFR
43EDF0,civ,# EA50 2-NAOM
43EB04,civ,# NAVI 2-RIOH
43EC60,civ,# P28B 2-GOLD
43EC83,civ,# PC12 2-FLYT
,,
[Ireland],,
4CA44B,mil,# IRL PC12 280 
4CA41C,mil,# IRL PC12 281 
4CA41D,mil,# IRL PC12 282 
4CA41E,mil,# IRL PC12 283 
4CA41A,mil,# PC9 269
,,
[India],,
800790,mil,# C17 CB-8003
800795,mil,# C17 CB-8008
,,
[Italy],,
33FE08,mil,# IAM Tornado MM7053
33FE09,mil,# IAM Tornado MM7054
33FE01,mil,# IAM Tornado MM7055
33FDC2,mil,# IAM GLF5 MM62293 
33FD99,mil,# IAM GLF5 MM62303
33FD69,mil,# RQ4 MMAV-SA-0016
33FE12,mil,# D228 MM62158
33FD0A,mil,# GLF5 MM62329
300500,civ,# F900 I-NEMO
33FE10,mil,# A139 MM81807
33FE0B,mil,# D228 MM62156
33FE0F,mil,# P180 MM62161
33FDB4,mil,# H47 MM81793
33FD45,mil,# RQ4 MMAV-SA-0018
33FE3A,mil,# P180 MM62286
33FE39,mil,# P180 MM62287
,,
[Japan],,
87CD05,mil,# C68A 12-3033
87C847,mil,# P1 5524
87C84B,mil,# P1 5528
87CD04,mil,# C68A 02-3032
87C400,mil,# B350 23051
87C829,mil,# C130 9052
87CD1B,mil,# C2 18-1215
87C800,mil,# P1 9501
87CC21,mil,# C130 85-1080
87C828,mil,# C130 9051
87CC31,mil,# KC2 68-1204
87C823,mil,# P1 5508
87C81A,mil,# P1 5505
87C835,mil,# P1 5513
87CC10,mil,# KC2 18-1202
87CC4A,mil,# KC2 18-1214
87CC24,mil,# C130 95-1083
87CC38,mil,# KC2 88-1207
87C818,mil,# P1 5503
87CC40,mil,# KC2 08-1212
87C84A,mil,# P1 5527
87C84D,mil,# P1 5530
87C82D,mil,# C130 9056
,,
[Kuwait],,
7061F6,mil,# C130 KAF327
706216,mil,# C17 KAF343
,,
[Lithuania],,
503FD5,mil,# MI8 26Blue
,,
[Lebanon],,
748714,mil,# E314 748714
,,
[Mexico],,
0D05AF,mil,# C295 3202 
0D07C5,mil,# B350 ANX-1190
0D0A13,mil,# B738 3528
0D08A7,mil,# B350 5209
,,
[Morocco],,
020130,mil,# B748 CN-MBH
0200EE,mil,# CL4T CN-ATN
020107,mil,# CL4T CN-ATO
02012D,mil,# GLF5 CN-MMR
20131,mil, # B350 CN-TMS
,,
[Malaysia],,
75026D,mil,# A320 9M-NAB
,,
[Netherlands],,
48104F,mil,# NH90 N-318
481042,mil,# NH90 N-102
481053,mil,# NH90 N-326
481054,mil,# NH90 N-327
481047,mil,# NH90 N-227
,,
[Oman],,
70C08D,mil,#C30J 505
,,
[Pakistan],,
761047,mil,# GLF4 4270
,,
[Poland],,
48D900,mil,# PZ3T 029
48D901,mil,# PZ3T 030
48D905,mil,# PZ3T 038
48D908,mil,# PZ3T 042
48D909,mil,# PZ3T 043
48D902,mil,# PZ3T 031
48D923,mil,# PZ3T 046
48D903,mil,# PZ3T 032
48D904,mil,# PZ3T 037
48D911,mil,# PZ3T 019
48D916,mil,# PZ3T 025
48D917,mil,# PZ3T 026
48D918,mil,# PZ3T 027
48D922,mil,# PZ3T 045
48D912,mil,# PZ3T 020
48D90E,mil,# PZ3T 050
48D961,mil,# GLF5 0002
48D980,mil,# B738 0110
48D982,mil,# B738 0111
48D981,mil,# B738 0112
48DA80,mil,# W3 0915
48DA84,mil,# W3 1016
,,
[Qatar],,
06A211,mil,# EUFI ZR509
,,
[Romania],,
4A35AF,mil,# C27J 2706
4A35A7,mil,# AN30 1104
4A3618,mil,# C560 1122
4A35A2,mil,# C130 5930
4A35AE,mil,# C295 2075
,,
[Russia],,
150177,mil,# T134 RA-65911
1500C1,mil,# T134 RA-65729
14F124,mil,# A148 RF-61732
154DB2,mil,# T154 RA-85426
154C32,mil,# T154 RA-85042
1533F8,mil,# IL76 RA-78840
152B5E,mil,# IL76 RA-76638
1533F3,mil,# IL76 RA-78835
152C1C,mil,# IL76 RF-76828
14F121,mil,# A148 RA-61729
149C77,mil,# T154 RA-85563
1B4F60,mil,# T154 RF-85856
14F116,mil,# A148 RA-61718
14F120,mil,# A148 RA-61728
154C31,mil,# T154 RA-85041
154C83,mil,# T154 RA-85123
154E65,mil,# T154 RA-85605
15521B,mil,# IL62 RA-86555
14FC07,mil,# T214 RF-64519
15520B,mil,# IL62 RA-86539
15009A,mil,# T134 RA-65690
1501C8,mil,# T134 RF-65992
14FC0D,mil,# T204 RF-64525
,,
[Saudi Arabia],,
710022,mil,# G450 HZ-MS4C
710391,civ,# B737 HZ-101
7103B5,mil,# B350 4106
,,
[Singapore],,
76E723,mil,# PC21 9103
76E724,mil,# PC21 9104
76E72F,mil,# PC21 9115
76E72B,mil,# PC21 9111
76E732,mil,# PC21 9118
76E725,mil,# PC21 9105
76E726,mil,# PC21 9106
76E72C,mil,# PC21 9112
76E733,mil,# PC21 9119
76E729,mil,# PC21 9109
76E727,mil,# PC21 9107
76E730,mil,# PC21 9116
,,
[Slovakia],,
505F6B,mil,# L410 2901
505F6E,mil,# C27J 1962
,,
[Slovenia],,
506F30,civ,# PIPA S5-MTT 
506F37,civ,# PIPA S5-MTA
,,
[South Korea],,
71FC05,mil,# E737 65-330
71F9C4,mil,# C30J 45-750
71F9C1,mil,# C30J 35-730
71F9C3,mil,# C30J 45-747
71F822,mil,# C30J 55-036
71FA07,mil,# CN35 02050
,,
[Spain],,
341390,mil,# F900 T.18-1
3432CD,mil,# CN35 T.19B-21
,,
[Thailand],,
885336,mil,# A345 60204
885334,mil,# A320 60203
,,
[Tunisia],,
02B26A,mil,# C30J Z21121
,,
[Turkey],,
4B9297,mil,# E737 13-003
001071,mil,# UAV TB2
001265,mil,# UAV TB2
4B8378,mil,# UAV TB2
,,
[Ukraine],,
50FFB6,mil,# AN26 01 BLUE
,,
[United Kingdom],,
43EB96,civ,# C510 2-MSTG
43EB77,civ,# GLF5 2-TRAV
43ECF9,civ,# DA40 2-PASC
43ECFA,civ,# DA40 2-PASD
43EC2B,civ,# C25B 2-RBTS
406F50,mil,# A109 GZ100
400EA8,civ,# G115 G-BYXK
4060D6,civ,# G115 G-CGKG
405358,mil,# AS65 ZJ165
43F2CE,civ,# C25C ZJ-THC
43EE58,civ,# B738 2-LRGG
43EDE7,civ,# B738 2-VVOY
,,
[United Arab Emirates],,
896C40,mil,# C17 1230
896C6B,mil,# CL60 1350
,,
[United States],,
A79B15,mil,# DHC7 N59AG
A60693,mil,# CL60 N488CR
A0E824,mil,# DHC7 N158CL
A134A6,mil,# DHC7 N177RA
,,
[Unknown or unassigned country],,
43EE42,civ,# EA50 2-KISS
43EE22,civ,# A320 2-VIHC
43EE13,civ,# AT46 2-ATRO
43ED5A,civ,# AT76 2-HOPL
43EDD1,civ,# EA50 2-DAVE
4520F3,mil,# Z42 OK-0854
4520F4,mil,# Z42 OK-0855
43EDE5,civ,# B738 2-VVOT
924924,mil,# G550 06-0500
520276,mil,# SW4 94-0262 - miscode
